 aspect_ratio | width | height | iso_639_1 |            file_path             | vote_average | vote_count | movie_id | image_type 
        0.667 |  2000 |   3000 | en        | /kV61FAIsRWZP6JhgWFOKug9RbBx.jpg |        5.246 |          2 |   102382 | poster
        0.667 |  2000 |   3000 | pt        | /rSsRveZUsaFrigKibILwlpJ4wuv.jpg |         5.19 |          5 |   102382 | poster
        0.667 |  2000 |   3000 | en        | /czYjnEm3nRurxV6hE2kCS0miRmn.jpg |         5.19 |          5 |   102382 | poster
        0.702 |   674 |    960 | zh        | /KGwsroHz8elSyaiumptR0h2Tog.jpg  |         5.19 |          5 |   102382 | poster
        0.667 |  2000 |   3000 | en        | /579HAFLpODEC9Reb64wbCHSUi4O.jpg |         5.18 |         18 |   102382 | poster
        0.675 |  2000 |   2963 | pt        | /pgYGPtB3tPpnCym5MFEcg0RmLd4.jpg |         5.18 |          3 |   102382 | poster
         0.69 |  1400 |   2028 | en        | /sloRo2wS6T4yG3M6JzhGg8Wu0Z2.jpg |         5.18 |          3 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /mxB16UiklPsoSUQHs5WEqrwosis.jpg |         5.18 |          3 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /d8DhO1StsmRTQB4bicpAzlZJSWL.jpg |         5.18 |          3 |   102382 | poster
        0.667 |  1000 |   1500 | es        | /crp96CIZBqEnP5Dw84gzYmuKYKz.jpg |        5.172 |          1 |   102382 | poster
         0.75 |   768 |   1024 | it        | /hmcd0i4tXtf1bRJbwrw6A0BaETw.jpg |        5.172 |          1 |   102382 | poster
        0.666 |  1066 |   1600 | pt        | /cyMz4OfmNqpuQ02QQOQCbGxQjwK.jpg |        5.172 |          1 |   102382 | poster
        0.698 |  1978 |   2835 | ko        | /kleiC8Z7F74FnawuPhmmR3I0Uhk.jpg |        5.172 |          1 |   102382 | poster
        0.697 |   523 |    750 | en        | /pdtYShPzqHk8kA5n8X9PRV16qQC.jpg |        5.172 |          1 |   102382 | poster
        0.667 |   500 |    750 | es        | /kfCRghg1mAyOXx7RjOwMexY7fPi.jpg |        5.172 |          1 |   102382 | poster
        0.667 |  2000 |   3000 | es        | /vE2c1AuDEhmiooeAm6oXGCteQKQ.jpg |        5.172 |          1 |   102382 | poster
        0.667 |  2000 |   3000 | en        | /5Ym6EWs77WQLJa14GDUEp0Sebgp.jpg |        5.118 |          4 |   102382 | poster
        0.706 |   570 |    807 | en        | /9F1wOJrd8fEF1zS01Me5t281Wvw.jpg |        5.106 |          2 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /sW985F8UHrqQOZWeQ1DEnEmQs6U.jpg |        5.106 |          2 |   102382 | poster
        0.707 |  1587 |   2245 | en        | /yq9gpQ5f1eHdLjwRCcThBPW4f26.jpg |        5.056 |          5 |   102382 | poster
        0.667 |  2000 |   3000 | en        | /wEl25XjCjkLlKFPEAaA3aTe0lOg.jpg |        5.056 |          5 |   102382 | poster
        0.666 |  1351 |   2028 | uk        | /cMSKPG4bEXj6mTFz2V8NKzKTaRy.jpg |        5.056 |          5 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /ve6i8iKgvYZYLAFhAe8XjgZ0rLp.jpg |        5.044 |          3 |   102382 | poster
        0.667 |  2000 |   3000 | en        | /2ZuqJNMjUmk8ANdIlM8Yzz18XXa.jpg |        5.044 |          3 |   102382 | poster
        0.667 |  1400 |   2100 | en        | /c4KDEbNKq19ORepplKQE1S8FNWh.jpg |        5.022 |         10 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /vtFg3efWbhZ92Ul9IYhwOXFy4kC.jpg |        4.996 |          6 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /gFal1UWTAgLP3XX0c0fMJC0DT9e.jpg |        4.942 |         16 |   102382 | poster
        0.701 |  1000 |   1426 | en        | /Rl82MT8uJ7QhMPDe0y89y39TFX.jpg  |        4.922 |          5 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /rUty7Zl5KT8zUWeX59hab4l6fTs.jpg |        4.866 |          6 |   102382 | poster
        0.701 |  1000 |   1426 | en        | /7El6rX3gu0MWO8r15Dqj0DaWwkr.jpg |        4.866 |          6 |   102382 | poster
        0.703 |  1015 |   1443 | bg        | /tU3K8ZPjEeuYIH6tpmNgwK6SGJK.jpg |            0 |          0 |   102382 | poster
        0.675 |  1080 |   1600 | da        | /mSlWx5jS7zeeDUWpKufvxvtoEMU.jpg |            0 |          0 |   102382 | poster
        0.705 |  1200 |   1701 | ja        | /7e7oeNosdAVyPhYEIfTxstVKY6C.jpg |            0 |          0 |   102382 | poster
        0.667 |  1400 |   2100 | hu        | /2MAVbYmUGnLXj5S7XbcyDIs1xfU.jpg |            0 |          0 |   102382 | poster
        0.667 |  1000 |   1500 | he        | /3WZiytE8t83LWek4AQePqTVy4JO.jpg |            0 |          0 |   102382 | poster
        0.667 |   667 |   1000 | th        | /8CxiUlXg1GgmOnHjFl8kRxTxDk3.jpg |            0 |          0 |   102382 | poster
        0.692 |   800 |   1156 | bg        | /mzhTNtAgS5T1Y5DUqQeV6ixxvGf.jpg |            0 |          0 |   102382 | poster
        0.706 |   570 |    807 | es        | /y4W4APvt3w46sjLSD9mmo0XCg6G.jpg |            0 |          0 |   102382 | poster
        0.667 |  1000 |   1500 | ko        | /wBngbMljmlTG3zjbNLvtz1BlakD.jpg |            0 |          0 |   102382 | poster
        0.667 |   669 |   1003 | cs        | /oCAl3ihEuGSNXL5huvzpd6qigWd.jpg |            0 |          0 |   102382 | poster
        0.671 |  1000 |   1490 |           | /mpjBZzbQwdUG9dOuLMkPJR2Dpct.jpg |            0 |          0 |   102382 | poster
        0.675 |  2000 |   2963 |           | /dUDTo9leg6MqITR9clD2XAup5VU.jpg |            0 |          0 |   102382 | poster
        0.708 |   700 |    989 | ja        | /fHMFPEDpg8rikU0xN5waeUBaNBF.jpg |            0 |          0 |   102382 | poster
         0.66 |  1000 |   1515 | cn        | /bvCyWWaxsw1n19dk9bg2VJMh4g.jpg  |            0 |          0 |   102382 | poster
         0.66 |   750 |   1136 | cn        | /3SyaSi0zBpsZJUK1k1ytASYV94t.jpg |            0 |          0 |   102382 | poster
        0.667 |  1000 |   1500 | sk        | /9wPPENlPnCxRcPlA9LxhUlW36KC.jpg |            0 |          0 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /zvDpBpWJGGfPy5OZJGPulYFAYmH.jpg |            0 |          0 |   102382 | poster
        0.667 |  1000 |   1500 | hu        | /dqdFXriRFOtH80XZnD6SrtUaYAr.jpg |            0 |          0 |   102382 | poster
        0.667 |  1000 |   1500 | en        | /6iHr12uy1rlV6md6UPSEy8LCtdO.jpg |            0 |          0 |   102382 | poster
        0.666 |  1333 |   2000 | tr        | /5AUtr30XU5RYe8V1Qs2qmXhQdj7.jpg |            0 |          0 |   102382 | poster
        0.667 |  2000 |   3000 | en        | /sGZl39DMtgiItwefExzPxFm2MOB.jpg |            0 |          0 |   102382 | poster
        0.667 |  2000 |   3000 | en        | /vECLDDqtjHEh2KTfdky3xeHMipp.jpg |            0 |          0 |   102382 | poster
        0.667 |   600 |    900 | en        | /q8AoK4CCOZJdtc5yAoc29jhqOad.jpg |            0 |          0 |   102382 | poster
        0.667 |   800 |   1200 | vi        | /dKOOKXgzCO7zh9meehGLxdWvpQY.jpg |            0 |          0 |   102382 | poster
        0.667 |   600 |    900 | vi        | /iYDVQT00h5jYpMpai4i7mmZDmiQ.jpg |            0 |          0 |   102382 | poster
        0.667 |  1000 |   1500 | vi        | /hvvBCgpHZ7fGa89FgTryjPyRAeF.jpg |            0 |          0 |   102382 | poster
        7.387 |  1278 |    173 | pt        | /nv2ZxnkeF1CGPtYBQDWTXawD4LD.png |        5.312 |          1 |   102382 | logo
          3.1 |   623 |    201 | fr        | /Pd9JBQywt8BqJX5x3qYSVKntni.png  |            0 |          0 |   102382 | logo
        9.304 |  1256 |    135 | en        | /lwu3nEfEh40SSE4akFmRfm5qwQD.png |            0 |          0 |   102382 | logo
        4.632 |  4285 |    925 | en        | /4l56EzSkx5NX1sXhLbc9BZwo3lN.png |            0 |          0 |   102382 | logo
        8.889 |  1600 |    180 | en        | /1Ht3GqSeLpk6gPAmQohArkoJAd0.png |            0 |          0 |   102382 | logo
        5.147 |  4226 |    821 | hu        | /7ByL2urnmNNvZ9Um1Q1WJpNcxPk.png |            0 |          0 |   102382 | logo
         6.52 |  1278 |    196 | tr        | /jOSo5SeeB9XsFbebHlSIr5dZk4n.png |            0 |          0 |   102382 | logo
